date,bond20_03,index300
9/15/2014,95.1759,2437.189
9/16/2014,95.1652,2388.765
9/17/2014,95.3145,2401.326
9/18/2014,95.8638,2408.664
9/19/2014,96.2032,2425.211
9/22/2014,96.1611,2378.92
9/23/2014,96.2304,2399.462
9/24/2014,96.1697,2441.864
9/25/2014,96.309,2436.965
9/26/2014,96.1784,2437.201
9/29/2014,96.4463,2447.799
9/30/2014,97.0856,2450.988
10/8/2014,96.8101,2478.383
10/9/2014,96.8395,2481.955
10/10/2014,96.9588,2466.789
10/13/2014,96.8067,2454.946
10/14/2014,97.286,2446.562
10/15/2014,97.3853,2463.874
10/16/2014,97.5947,2444.395
10/17/2014,96.1693,2441.732
10/20/2014,96.4873,2454.711
10/21/2014,96.5666,2433.391
10/22/2014,96.4359,2418.641
10/23/2014,96.4452,2395.936
10/24/2014,96.4445,2390.706
10/27/2014,96.5425,2368.832
10/28/2014,96.7118,2416.653
10/29/2014,97.0011,2451.384
10/30/2014,96.9704,2468.925
10/31/2014,97.1297,2508.325
11/3/2014,97.4777,2512.548
11/4/2014,98.427,2513.172
11/5/2014,98.6863,2503.448
11/6/2014,98.4656,2506.067
11/7/2014,99.0949,2502.153
11/10/2014,99.0429,2565.73
11/11/2014,99.0422,2558.612
11/12/2014,98.3815,2594.318
11/13/2014,98.1408,2579.75
11/14/2014,97.9201,2581.093
11/17/2014,97.8081,2567.101
11/18/2014,97.8174,2541.416
11/19/2014,97.8667,2537.223
11/20/2014,97.866,2537.099
11/21/2014,97.8453,2583.455
11/24/2014,98.6733,2649.258
11/25/2014,98.4726,2685.561
11/26/2014,98.6219,2723.018
11/27/2014,98.7212,2754.49
11/28/2014,98.8005,2808.819
12/1/2014,98.7085,2819.812
12/2/2014,98.4278,2923.94
12/3/2014,97.8971,2967.549
12/4/2014,97.5164,3104.351
12/5/2014,97.0658,3124.885
12/8/2014,96.9837,3252.881
12/9/2014,95.503,3106.913
12/10/2014,96.7523,3221.546
12/11/2014,97.5116,3183.012
12/12/2014,97.441,3193.227
12/15/2014,97.0389,3217.228
12/16/2014,97.1882,3303.402
12/17/2014,97.3975,3360.598
12/18/2014,97.1868,3345.927
12/19/2014,97.5562,3383.167
12/22/2014,97.4741,3394.481
12/23/2014,97.8234,3324.924
12/24/2014,98.2127,3230.385
12/25/2014,98.2021,3335.419
12/26/2014,98.3114,3445.839
12/29/2014,98.3793,3455.455
12/30/2014,98.4886,3457.554
12/31/2014,98.5879,3533.705
1/5/2015,98.5745,3641.541
1/6/2015,98.2038,3641.059
1/7/2015,98.2932,3643.79
1/8/2015,98.4825,3559.259
1/9/2015,98.5118,3546.723
1/12/2015,98.4397,3513.576
1/13/2015,98.769,3514.04
1/14/2015,98.7784,3502.423
1/15/2015,99.0877,3604.121
1/16/2015,99.287,3635.146
1/19/2015,99.5049,3355.155
1/20/2015,99.5642,3396.222
1/21/2015,99.7536,3548.885
1/22/2015,100.0729,3567.613
1/23/2015,100.2122,3571.732
1/26/2015,100.3501,3607.985
1/27/2015,100.4795,3574.931
1/28/2015,99.9988,3525.323
1/29/2015,100.0881,3481.798
1/30/2015,100.1274,3434.39
2/2/2015,100.0453,3353.96
2/3/2015,100.1547,3437.445
2/4/2015,100.484,3401.768
2/5/2015,100.5433,3366.946
2/6/2015,100.6326,3312.42
2/9/2015,100.8405,3345.921
2/10/2015,100.8699,3406.943
2/11/2015,101.1992,3434.124
2/12/2015,101.4885,3442.874
2/13/2015,102.0078,3469.828
2/16/2015,102.0058,3499.483
2/17/2015,102.4351,3522.322
2/25/2015,102.4896,3478.729
2/26/2015,102.1089,3566.295
2/27/2015,101.8482,3572.843
3/2/2015,101.9062,3601.265
3/3/2015,101.6855,3507.9
3/4/2015,101.6648,3530.822
3/5/2015,101.5041,3496.344
3/6/2015,101.3634,3478.52
3/9/2015,101.1514,3537.75
3/10/2015,101.2207,3520.611
3/11/2015,101.53,3524.653
3/12/2015,101.5693,3592.844
3/13/2015,101.5286,3617.657
3/16/2015,101.2666,3705.671
3/17/2015,101.4959,3757.122
3/18/2015,101.4152,3846.055
3/19/2015,101.4245,3839.739
3/20/2015,101.5038,3892.574
3/23/2015,101.3618,3972.061
3/24/2015,101.3911,3973.046
3/25/2015,101.4604,3940.412
3/26/2015,101.1697,3949.999
3/27/2015,101.129,3971.697
3/30/2015,100.947,4088.178
3/31/2015,100.7463,4051.204
4/1/2015,100.7556,4123.895
4/2/2015,101.0449,4124.776
4/3/2015,100.9942,4170.538
4/7/2015,100.9415,4260.044
4/8/2015,101.0408,4295.803
4/9/2015,101.3901,4262.138
4/10/2015,101.4595,4344.416
4/13/2015,101.4174,4421.073
4/14/2015,101.3367,4438.184
4/15/2015,101.376,4380.513
4/16/2015,101.4953,4513.546
4/17/2015,99.9993,4596.136
4/20/2015,100.2373,4521.919
4/21/2015,100.3466,4619.164
4/22/2015,100.4459,4739.814
4/23/2015,100.4352,4740.892
4/24/2015,100.3345,4702.641
4/27/2015,100.3825,4807.592
4/28/2015,100.5318,4741.861
4/29/2015,100.5811,4774.326
4/30/2015,100.6104,4749.886
5/4/2015,100.4477,4787.741
5/5/2015,100.407,4596.837
5/6/2015,100.3963,4553.327
5/7/2015,100.2456,4470.089
5/8/2015,100.5549,4558.404
5/11/2015,100.6029,4690.532
5/12/2015,100.6022,4747.421
5/13/2015,100.6015,4718.436
5/14/2015,100.7608,4700.778
5/15/2015,100.8601,4617.47
5/18/2015,100.9081,4575.14
5/19/2015,100.8774,4731.222
5/20/2015,100.8967,4754.919
5/21/2015,100.806,4840.976
5/22/2015,100.8053,4951.335
5/25/2015,100.7033,5099.495
5/26/2015,100.5326,5198.918
5/27/2015,100.6119,5181.434
5/28/2015,100.5512,4834.007
5/29/2015,100.7005,4840.829
