,Symbol,Latest Bond Rating,Coupon Description,calculated_dirty_price,FULL,fv_bond
285,196262.SH,AA+,6.38%,107.32570280426417,100.3845,109.98129139410437
286,184152.SH,AAA,6.36%,119.33614821759181,101.0106,122.28891447284828
287,155502.SH,AA+,6.35%,105.3472699910063,103.6078,107.95390568822735
288,197174.SH,AA+,6.32%,107.82998579844144,101.6276,110.49805199737618
289,197984.SH,AAA,6.30%,110.46467627081593,100.7767,113.19793332127445
290,177462.SH,AA+,6.30%,107.4037901256939,100.8285,110.06131085102805
291,178990.SH,AAA,6.30%,110.55225743594025,100.9493,113.28768153060824
292,152695.SH,AAA,6.30%,113.41221573075315,100.9838,116.21840453896766
293,184137.SH,AA+,6.30%,119.1357800946886,101.2427,122.08358858785225
294,197411.SH,AA+,6.30%,111.00679686439598,101.8296,113.75346774979815
295,197089.SH,AAA,6.30%,111.2966690870499,102.4164,114.05051235844051
296,197145.SH,AA+,6.30%,111.35809868738653,102.5373,114.1134619278197
297,152989.SH,AAA,6.30%,120.52887123941828,103.1759,123.51114935963201
298,152237.SH,AA+,6.30%,117.13984786819856,102.283,120.03827047607778
299,152913.SH,AAA,6.30%,121.06341229545131,108.9681,124.05891670808255
300,150499.SH,AA+,6.30%,108.91574033012222,103.9181,111.61067164403279
301,155924.SH,AAA,6.30%,105.58543407900792,104.4532,108.19796273400218
302,152808.SH,AAA,6.30%,122.08217480775194,105.3162,125.1028867338933
303,152436.SH,AA+,6.30%,120.46372425118481,105.5405,123.44439042203231
304,152365.SH,AAA,6.28%,115.14922366353412,100.7226,117.99839172393364
305,184075.SH,AA+,6.27%,119.73092548826216,102.319,122.69345982318761
306,152375.SH,AAA,6.25%,114.99855666719257,100.7021,117.8439967337761
307,152896.SH,AAA,6.25%,121.00692107201374,104.2466,124.00102770718377
308,152370.SH,AAA,6.20%,114.80876464051555,95.7384,117.64950863218583
309,197923.SH,AAA,6.20%,110.24726181862941,100.8663,112.97513932510725
310,152681.SH,AA+,6.20%,116.7059400798174,101.0701,119.59362639115477
311,143413.SH,AAA,6.20%,104.13928465936,107.057,106.71603085220701
312,167752.SH,AAA,6.20%,104.44720825466634,101.9364,107.0315734834467
313,152571.SH,AAA,6.20%,117.81050380388078,102.8989,120.72552063107534
314,155679.SH,AA+,6.20%,104.76117699495367,102.5989,107.35331083630761
315,167360.SH,AA+,6.20%,108.41287620621374,103.2274,111.09536501851659
316,167390.SH,AA+,6.20%,108.41287620621374,103.2274,111.09536501851659
317,167129.SH,AAA,6.20%,105.1505112862806,103.6011,107.75227853020883
318,188178.SH,AAA,6.20%,108.94114597933586,104.3145,111.63670591202464
319,155937.SH,AAA,6.20%,105.61666994621596,104.7562,108.22997147863273
320,152460.SH,AA+,6.20%,119.49068302829991,104.8921,122.44727297973846
321,152393.SH,AAA,6.20%,119.86808839050177,102.9256,122.8340165838285
322,177432.SH,AA+,6.20%,107.09919560277903,100.6115,109.74917966430903
323,122282.SH,AAA,6.18%,107.42877286460435,117.3037,110.08691174453391
324,152120.SH,AAA,6.17%,118.16147959125684,111.2029,121.0851807062959
325,175159.SH,AAA,6.15%,107.9526000620443,102.46,110.62370013852065
326,152212.SH,AAA,6.15%,116.95074744689242,107.0944,119.84449109243518
327,122272.SH,AAA,6.15%,112.67169697353647,105.7962,115.45956292794388
328,143453.SH,AAA,6.15%,103.68676912632566,102.1201,106.25231860622458
329,152243.SH,AAA,6.13%,116.34524400901353,104.1717,119.22400552093195
330,177583.SH,AAA,6.13%,106.89465297915918,100.4535,109.53957598780781
331,177480.SH,AAA,6.10%,112.50648255115473,100.7019,115.29026056089009
332,184141.SH,AAA,6.10%,117.8975917751651,101.22,120.81476344334193
333,188793.SH,AAA,6.10%,110.57092226667811,102.0222,113.30680819024865
334,124720.SH,AAA,6.10%,122.12931401738557,104.88,125.15119232160752
335,184016.SH,AAA,6.09%,118.7546731421682,102.4527,121.69305180400366
336,122317.SH,AAA,6.09%,111.07583711622664,111.0533,113.82421628305823
337,178737.SH,AAA,6.08%,108.01101759500496,102.8318,110.6835631121346
338,143522.SH,AAA,6.08%,109.2644782866082,108.6804,111.9680385171146
