证券代码,证券简称,"收盘价
[交易日期] 2022-01-27
[债券价格类型] 收益率
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 净价
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 全价
[单位] 元","报价买入收益率(最优)
[交易日期] 2022-01-27
[单位] %","剩余期限(年)
[日期] 最新
[单位] 年","债券初始面值
[单位] 元",最新债项评级,到期日期,利率类型,计息方式,利率说明,每年付息次数,Coupon Date,"债券期限(年)
[单位] 年",债券期限(文字),计息基准,付息日说明,"债券期限(年)
[单位] 年","发行总额
[单位] (100M)元"
092000013.IB,20信达二级资本债01,4.1713,102.3691,103.2075,,8.7973,100.0000,AAA,2030-11-20,固定利率,单利,4.50%,1,11月20日,10.0000,5+5,ACT/ACT,"每年11月20日付息,节假日顺延",10.0000,"8,000,000,000.0000"
092000016.IB,20东方资本债01,4.6580,101.4900,102.0661,,3.8658,100.0000,AAA,2025-12-15,固定利率,单利,4.89%,1,12月15日,5.0000,5+N,ACT/ACT,"每年12月15日付息,节假日顺延",5.0000,"10,000,000,000.0000"
092018001.IB,20农发清发01,1.7181,100.0599,102.0387,1.9501,0.1041,100.0000,,2022-03-12,固定利率,单利,2.25%,1,3月12日,2.0000,2,ACT/ACT,"每年3月12日付息,节假日顺延",2.0000,"97,750,000,000.0000"
092018002.IB,20农发清发02,2.7300,100.6734,102.7021,2.7690,5.2767,100.0000,,2027-05-14,固定利率,单利,2.87%,1,5月14日,7.0000,7,ACT/ACT,"每年5月14日付息,节假日顺延",7.0000,"106,880,000,000.0000"
092018003.IB,20农发清发03,1.9944,100.7528,101.9905,2.0501,0.6027,100.0000,,2022-09-10,固定利率,单利,3.25%,1,9月10日,2.0000,2,ACT/ACT,"每年9月10日付息,节假日顺延",2.0000,"49,600,000,000.0000"
092100002.IB,21亚洲开发银行债01BC,2.7127,101.8702,104.6932,,4.1014,100.0000,,2026-03-11,固定利率,单利,3.2%,1,3月11日,5.0000,5,ACT/ACT,"每年3月11日付息,节假日顺延",5.0000,"2,000,000,000.0000"
092100003.IB,21法农银行债01,3.3684,100.2602,103.2807,,2.1205,100.0000,AAA,2024-03-18,固定利率,单利,3.50%,1,3月18日,3.0000,3,ACT/ACT,"每年3月18日付息,节假日顺延",3.0000,"1,000,000,000.0000"
092100005.IB,21新开发银行债01BC,2.4409,101.6121,104.3293,,2.1397,100.0000,,2024-03-25,固定利率,单利,3.22%,1,3月25日,3.0000,3,ACT/ACT,"每年3月25日付息,节假日顺延",3.0000,"5,000,000,000.0000"
092100006.IB,21澳门国际银行债01BC,3.3861,99.7364,101.3899,,2.4795,100.0000,AAA,2024-07-27,固定利率,单利,3.28%,1,7月27日,3.0000,3,ACT/ACT,"每年7月27日付息,节假日顺延",3.0000,"1,500,000,000.0000"
092100008.IB,21中国信达债01,4.3730,100.3268,102.3038,,4.5342,100.0000,AAA,2026-08-16,固定利率,单利,4.40%,1,8月16日,5.0000,5+N,ACT/ACT,"每年8月16日付息,节假日顺延",5.0000,"10,000,000,000.0000"
