,close,volume,boll_upper,expma_expma,ma_ma
2021-12-21 11:14:00,8.82,344000.0,8.8559193,8.7889922,8.76
2021-12-21 11:15:00,8.82,81700.0,8.8612542,8.7919453,8.7614
2021-12-21 11:16:00,8.83,67525.0,8.8658824,8.7955696,8.7626
2021-12-21 11:17:00,8.84,117900.0,8.8725683,8.7998011,8.7636
2021-12-21 11:18:00,8.85,181900.0,8.8799033,8.8045819,8.7654
2021-12-21 11:19:00,8.87,90150.0,8.889434,8.8108122,8.7682
2021-12-21 11:20:00,8.85,204250.0,8.8942451,8.8145444,8.7708
2021-12-21 11:21:00,8.81,225555.0,8.8933911,8.8141116,8.7726
2021-12-21 11:22:00,8.85,167020.0,8.8977222,8.8175295,8.7756
2021-12-21 11:23:00,8.88,240200.0,8.9054635,8.8234791,8.7786
2021-12-21 11:24:00,8.9,55965.0,8.9136625,8.8307668,8.7804
2021-12-21 11:25:00,8.89,442300.0,8.9183379,8.8364081,8.7824
2021-12-21 11:26:00,8.91,163849.0,8.92312,8.8434168,8.785
2021-12-21 11:27:00,8.9,192600.0,8.925163,8.8488057,8.7878
2021-12-21 11:28:00,8.91,158800.0,8.927921,8.8546337,8.7906
2021-12-21 11:29:00,8.91,132592.0,8.929799,8.8599067,8.7932
2021-12-21 11:30:00,8.92,1700.0,8.9308792,8.8656299,8.7958
2021-12-21 13:00:00,8.89,650631.0,8.9330577,8.8679508,8.798
2021-12-21 13:01:00,8.89,322651.0,8.935969,8.8700508,8.8008
2021-12-21 13:02:00,8.9,352211.0,8.9372181,8.8729031,8.8042
2021-12-21 13:03:00,8.88,220000.0,8.9365516,8.873579,8.807
2021-12-21 13:04:00,8.88,115100.0,8.9361429,8.8741905,8.8096
2021-12-21 13:05:00,8.85,116100.0,8.9342193,8.8718866,8.811
2021-12-21 13:06:00,8.84,552300.0,8.9338083,8.8688498,8.8122
2021-12-21 13:07:00,8.83,91100.0,8.9338083,8.8651498,8.8136
2021-12-21 13:08:00,8.8,435100.0,8.9368254,8.8589451,8.815
2021-12-21 13:09:00,8.8,69900.0,8.9385378,8.8533313,8.817
2021-12-21 13:10:00,8.81,39700.0,8.9392428,8.8492045,8.8186
2021-12-21 13:11:00,8.82,246900.0,8.9397112,8.8464231,8.8204
2021-12-21 13:12:00,8.8,223800.0,8.9418209,8.8420019,8.8218
2021-12-21 13:13:00,8.8,312900.0,8.9435824,8.8380017,8.8234
2021-12-21 13:14:00,8.79,107300.0,8.9449827,8.8334301,8.825
2021-12-21 13:15:00,8.79,650500.0,8.9466622,8.8292939,8.826
2021-12-21 13:16:00,8.78,448700.0,8.9486334,8.8245992,8.8268
2021-12-21 13:17:00,8.79,560349.0,8.9496825,8.8213041,8.8282
2021-12-21 13:18:00,8.76,298900.0,8.9508129,8.8154656,8.829
2021-12-21 13:19:00,8.76,156400.0,8.9486366,8.8101832,8.83
2021-12-21 13:20:00,8.76,435300.0,8.9464949,8.8054038,8.8308
2021-12-21 13:21:00,8.76,230000.0,8.9405988,8.8010796,8.8314
2021-12-21 13:22:00,8.77,411000.0,8.9344558,8.7981197,8.832
2021-12-21 13:23:00,8.79,336400.0,8.925154,8.7973464,8.833
2021-12-21 13:24:00,8.81,715450.0,8.9149099,8.7985515,8.8332
2021-12-21 13:25:00,8.8,550000.0,8.9010866,8.7986894,8.8326
2021-12-21 13:26:00,8.81,407700.0,8.8922588,8.7997666,8.833
2021-12-21 13:27:00,8.85,465000.0,8.8858556,8.8045508,8.834
2021-12-21 13:28:00,8.84,138100.0,8.8753437,8.8079269,8.8346
2021-12-21 13:29:00,8.84,158700.0,8.868561,8.8109815,8.8352
2021-12-21 13:30:00,8.86,455000.0,8.86441,8.8156499,8.8358
2021-12-21 13:31:00,8.84,256200.0,8.8629263,8.817969,8.836
2021-12-21 13:32:00,8.84,313000.0,8.8629263,8.8200671,8.8358
2021-12-21 13:33:00,8.85,140500.0,8.8656021,8.8229179,8.8364
2021-12-21 13:34:00,8.84,210700.0,8.8686555,8.8245448,8.8368
2021-12-21 13:35:00,8.83,256700.0,8.8704413,8.8250643,8.8368
2021-12-21 13:36:00,8.82,200900.0,8.8710157,8.824582,8.8364
2021-12-21 13:37:00,8.79,234100.0,8.870022,8.8212885,8.8352
2021-12-21 13:38:00,8.79,264200.0,8.8699227,8.8183086,8.8336
2021-12-21 13:39:00,8.79,231100.0,8.8698125,8.8156126,8.8324
2021-12-21 13:40:00,8.76,787450.0,8.8708829,8.8103161,8.8314
2021-12-21 13:41:00,8.76,167200.0,8.8718001,8.8055241,8.8296
2021-12-21 13:42:00,8.76,183700.0,8.8725625,8.8011885,8.8272
2021-12-21 13:43:00,8.77,77200.0,8.8728076,8.7982182,8.8246
2021-12-21 13:44:00,8.76,156000.0,8.8728076,8.7945783,8.822
2021-12-21 13:45:00,8.76,293100.0,8.8728076,8.7912852,8.819
