wind_code,date,i_weight
688008.SH,2021-06-01,0.1352
688009.SH,2021-06-01,0.0733
688012.SH,2021-06-01,0.1461
688036.SH,2021-06-01,0.1383
000800.SZ,2021-06-15,
300274.SZ,2021-06-15,
300450.SZ,2021-06-15,
300558.SZ,2021-06-15,
300595.SZ,2021-06-15,
300677.SZ,2021-06-15,
600079.SH,2021-06-15,
600132.SH,2021-06-15,
600143.SH,2021-06-15,
600426.SH,2021-06-15,
600521.SH,2021-06-15,
601799.SH,2021-06-15,
601995.SH,2021-06-15,
603233.SH,2021-06-15,
603338.SH,2021-06-15,
603517.SH,2021-06-15,
603659.SH,2021-06-15,
603806.SH,2021-06-15,
603882.SH,2021-06-15,
603939.SH,2021-06-15,
688111.SH,2021-06-15,
688126.SH,2021-06-15,
688169.SH,2021-06-15,
688363.SH,2021-06-15,
688396.SH,2021-06-15,
000001.SZ,2020-12-01,1.0764
000002.SZ,2020-12-01,1.1581
000063.SZ,2020-12-01,0.5233
000066.SZ,2020-12-01,0.1442
000069.SZ,2020-12-01,0.1643
000100.SZ,2020-12-01,0.5449
000157.SZ,2020-12-01,0.2704
000166.SZ,2020-12-01,0.2763
000333.SZ,2020-12-01,2.3834
000338.SZ,2020-12-01,0.4548
000425.SZ,2020-12-01,0.1503
000538.SZ,2020-12-01,0.2756
000568.SZ,2020-12-01,0.7467
000596.SZ,2020-12-01,0.1366
000625.SZ,2020-12-01,0.343
000627.SZ,2020-12-01,0.0584
000651.SZ,2020-12-01,1.7893
000656.SZ,2020-12-01,0.0951
000661.SZ,2020-12-01,0.5982
000671.SZ,2020-12-01,0.0645
000703.SZ,2020-12-01,0.1326
000708.SZ,2020-12-01,0.0422
000723.SZ,2020-12-01,0.0485
000725.SZ,2020-12-01,0.8393
000728.SZ,2020-12-01,0.133
000768.SZ,2020-12-01,0.2452
000776.SZ,2020-12-01,0.2849
000783.SZ,2020-12-01,0.1925
000786.SZ,2020-12-01,0.1887
000858.SZ,2020-12-01,2.7703
000860.SZ,2020-12-01,0.1808
000876.SZ,2020-12-01,0.3264
000895.SZ,2020-12-01,0.2569
000938.SZ,2020-12-01,0.1794
000961.SZ,2020-12-01,0.101
000963.SZ,2020-12-01,0.1388
000977.SZ,2020-12-01,0.1607
001979.SZ,2020-12-01,0.2555
002001.SZ,2020-12-01,0.2361
002007.SZ,2020-12-01,0.2679
002008.SZ,2020-12-01,0.1902
002024.SZ,2020-12-01,0.1891
002027.SZ,2020-12-01,0.5821
002032.SZ,2020-12-01,0.0645
002044.SZ,2020-12-01,0.2015
002050.SZ,2020-12-01,0.2345
002120.SZ,2020-12-01,0.1124
002129.SZ,2020-12-01,0.2287
002142.SZ,2020-12-01,0.6219
002146.SZ,2020-12-01,0.0711
002153.SZ,2020-12-01,0.0601
002157.SZ,2020-12-01,0.1296
002179.SZ,2020-12-01,0.1896
002202.SZ,2020-12-01,0.1974
002230.SZ,2020-12-01,0.332
002236.SZ,2020-12-01,0.2141
002241.SZ,2020-12-01,0.4775
002252.SZ,2020-12-01,0.0945
002271.SZ,2020-12-01,0.3134
002304.SZ,2020-12-01,0.5933
002311.SZ,2020-12-01,0.2524
002352.SZ,2020-12-01,0.5891
002371.SZ,2020-12-01,0.2348
002410.SZ,2020-12-01,0.3364
002415.SZ,2020-12-01,0.9406
002422.SZ,2020-12-01,0.1175
002456.SZ,2020-12-01,0.1617
002460.SZ,2020-12-01,0.3314
002463.SZ,2020-12-01,0.1345
002475.SZ,2020-12-01,1.2213
002493.SZ,2020-12-01,0.29
002508.SZ,2020-12-01,0.1066
002555.SZ,2020-12-01,0.2008
002558.SZ,2020-12-01,0.0602
002594.SZ,2020-12-01,0.8868
002601.SZ,2020-12-01,0.181
002602.SZ,2020-12-01,0.1366
002607.SZ,2020-12-01,0.1338
002624.SZ,2020-12-01,0.1541
002673.SZ,2020-12-01,0.0952
002714.SZ,2020-12-01,0.649
002736.SZ,2020-12-01,0.2242
002739.SZ,2020-12-01,0.0987
002773.SZ,2020-12-01,0.0639
002841.SZ,2020-12-01,0.1538
002916.SZ,2020-12-01,0.0864
002938.SZ,2020-12-01,0.0788
002939.SZ,2020-12-01,0.0689
002945.SZ,2020-12-01,0.0225
002958.SZ,2020-12-01,0.0828
003816.SZ,2020-12-01,0.0917
300003.SZ,2020-12-01,0.2016
300014.SZ,2020-12-01,0.3365
300015.SZ,2020-12-01,0.7273
300033.SZ,2020-12-01,0.1753
300059.SZ,2020-12-01,1.1216
300122.SZ,2020-12-01,0.4582
300124.SZ,2020-12-01,0.4628
300136.SZ,2020-12-01,0.2012
300142.SZ,2020-12-01,0.3726
300144.SZ,2020-12-01,0.168
300347.SZ,2020-12-01,0.3454
300408.SZ,2020-12-01,0.1886
300413.SZ,2020-12-01,0.2703
300433.SZ,2020-12-01,0.2398
300498.SZ,2020-12-01,0.4782
300601.SZ,2020-12-01,0.2666
300628.SZ,2020-12-01,0.111
600000.SH,2020-12-01,0.6691
600004.SH,2020-12-01,0.0993
600009.SH,2020-12-01,0.4249
600010.SH,2020-12-01,0.1526
600011.SH,2020-12-01,0.1241
600015.SH,2020-12-01,0.2275
600016.SH,2020-12-01,0.6369
600018.SH,2020-12-01,0.0902
600019.SH,2020-12-01,0.3105
600025.SH,2020-12-01,0.0459
600027.SH,2020-12-01,0.0653
600028.SH,2020-12-01,0.3131
600029.SH,2020-12-01,0.1595
600030.SH,2020-12-01,1.4752
600031.SH,2020-12-01,1.053
600036.SH,2020-12-01,2.6365
600048.SH,2020-12-01,0.6833
600050.SH,2020-12-01,0.2549
600061.SH,2020-12-01,0.1436
600066.SH,2020-12-01,0.1372
600068.SH,2020-12-01,0.1043
600085.SH,2020-12-01,0.0817
600104.SH,2020-12-01,0.5139
600109.SH,2020-12-01,0.2498
600111.SH,2020-12-01,0.1673
600115.SH,2020-12-01,0.1272
600118.SH,2020-12-01,0.1116
600176.SH,2020-12-01,0.1939
600177.SH,2020-12-01,0.1114
600183.SH,2020-12-01,0.1778
600196.SH,2020-12-01,0.3499
600208.SH,2020-12-01,0.0795
600233.SH,2020-12-01,0.0922
600271.SH,2020-12-01,0.0869
600276.SH,2020-12-01,1.8006
600297.SH,2020-12-01,0.0776
600299.SH,2020-12-01,0.0207
